NOMBRE,POBLACION_TOTAL,LLUVIAS_INTENSAS,ALTAS_TEMPERATURAS,BAJAS_TEMPERATURAS,SISTEMA_SALUD,DENSIDAD,GANADERIA,POBREZA,INDICE_RESPIRATORIO
AGUASCALIENTES ,"1,425,607.00",0.23,0.36,0.20,0.59,0.32,0.25,0.24,0.21
BAJA CALIFORNIA ,"3,769,020.00",0.00,0.78,0.18,0.76,0.06,0.28,0.13,0.37
BAJA CALIFORNIA SUR ,"798,447.00",0.20,0.87,0.56,0.77,0.00,0.19,0.13,0.13
CAMPECHE ,"928,363.00",0.46,0.93,0.98,0.56,0.01,0.38,0.45,0.11
COAHUILA ,"3,146,771.00",0.21,0.67,0.00,0.61,0.01,0.75,0.18,0.09
COLIMA ,"731,391.00",0.44,0.30,0.32,0.63,0.16,0.16,0.21,0.07
CHIAPAS ,"5,543,828.00",0.42,0.94,0.16,0.50,0.09,0.84,0.67,0.08
CHIHUAHUA ,"3,741,869.00",0.10,0.82,1.00,0.74,0.01,0.94,0.18,0.12
CIUDAD DE MÉXICO ,"9,209,944.00",0.17,0.67,0.85,0.55,1.00,0.31,0.24,0.75
DURANGO ,"1,832,650.00",0.99,0.47,0.11,0.75,0.01,0.91,0.34,0.03
GUANAJUATO ,"6,166,934.00",0.26,0.76,0.98,0.56,0.25,0.50,0.33,0.14
GUERRERO ,"3,540,685.00",0.47,0.37,0.32,0.49,0.06,0.72,0.60,0.08
HIDALGO ,"3,082,841.00",0.22,0.53,0.53,0.54,0.18,0.31,0.41,0.11
JALISCO ,"8,348,151.00",0.34,0.01,0.11,0.59,0.13,0.97,0.22,0.32
ESTADO DE MÉXICO ,"16,992,418.00",0.10,0.43,0.35,0.52,0.99,0.41,0.43,0.38
MICHOACÁN ,"4,748,846.00",0.33,0.47,0.50,0.55,0.09,0.78,0.42,0.10
MORELOS ,"1,971,520.00",0.42,0.65,0.65,0.52,0.52,0.13,0.41,0.06
NAYARIT ,"1,235,456.00",0.40,0.81,0.80,0.60,0.04,0.47,0.29,0.01
NUEVO LEÓN ,"5,784,442.00",0.99,0.86,0.20,0.60,0.10,0.63,0.16,0.31
OAXACA ,"4,132,148.00",0.42,0.63,0.71,0.49,0.04,0.59,0.58,0.10
PUEBLA ,"6,583,278.00",0.20,0.31,0.35,0.53,0.24,0.34,0.54,0.26
QUERÉTARO ,"2,368,467.00",0.28,0.51,0.36,0.57,0.25,0.22,0.22,0.19
QUINTANA ROO ,"1,857,985.00",0.40,0.85,0.98,0.55,0.04,0.06,0.27,0.02
SAN LUIS POTOSÍ ,"2,822,255.00",0.36,0.83,0.50,0.57,0.05,0.53,0.36,0.07
SINALOA ,"3,026,943.00",0.44,0.95,0.68,0.76,0.06,0.81,0.22,0.10
SONORA ,"2,944,840.00",0.28,1.00,0.29,0.77,0.01,0.88,0.22,0.09
TABASCO ,"2,402,598.00",1.00,0.97,0.98,0.52,0.11,0.69,0.47,0.07
TAMAULIPAS ,"3,527,735.00",0.31,0.98,0.43,0.59,0.04,0.66,0.27,0.10
TLAXCALA ,"1,342,977.00",0.11,0.00,0.11,0.54,0.43,0.09,0.53,0.08
VERACRUZ ,"8,062,579.00",0.25,0.69,0.58,0.55,0.13,1.00,0.52,0.18
YUCATÁN ,"2,320,898.00",0.45,0.87,0.90,0.55,0.06,0.44,0.39,0.05
ZACATECAS ,"1,622,138.00",0.21,0.37,0.21,0.56,0.01,0.56,0.44,0.13
